Cluster,Frame,AtomID,X,Y,Z,X_Center,Y_Center,Z_Center,R,Theta,D_958,D_1178,D_1366,D_2377,D_3796,PCAcyl_0,PCAcyl_1,PCAcyl_2,PCAcyl_3,PCAcyl_4
0,1370.4199134199134,165802.05002405003,74.03574987974984,143.27903785473808,29.585023472823494,92.7201090812892,139.61110819624844,62.66738588744587,21.63201853640527,0.3666388182551833,67.55335213022363,92.04395890518082,30.51205982292362,45.93066037184755,53.66851829802683,-33.238757956302095,13.891687630743162,11.838836842393443,18.68501904998347,0.9899853893471728
1,1095.1971698113207,165764.09150943396,108.35921377358498,128.20811556603766,86.8186712735849,92.74676438679259,139.4824792075471,62.737337641509534,23.34487184938487,-0.8568250195814783,47.69556201005389,63.30855922143362,60.59125806504555,64.70658706862544,63.00748143707369,-11.207366241033212,-12.559195263029624,-5.843687861851579,-13.846378952779816,-1.9374509401730853
2,1036.3714144411474,165719.01632047477,107.97085153313542,109.22930890207726,57.42730370919884,92.74173805143427,139.54826266073204,62.74188133531171,36.616778036604316,-1.1944846900497543,46.342602853389685,97.16255963863053,39.81265542834567,64.03568464539026,76.35971946582355,-16.89495653102558,26.784473516204745,5.562047846212104,-11.634567341876002,4.631465769428969
3,915.4034198860038,165755.00949968334,119.03824534515486,168.07407587080456,99.5526451551613,92.7715406586449,139.51269872070944,62.74191063964539,43.62270146011089,0.7179717139266583,75.50845465215049,56.990470331606154,85.98112031617066,95.09584933338962,58.50146028815936,28.03746398916417,-24.578725247031,-25.210124324446948,4.475420187572741,0.6235744853626158
4,1007.1457645764576,165776.1606160616,63.7259309680968,146.20445995599562,95.50214257425759,92.70822822882278,139.34468795379578,62.826605808580844,34.446036482763496,0.4610611208999936,83.97382090845535,44.00997656843682,78.11473691325169,53.90821938857835,71.11686538917711,11.69408436376385,-41.08951695589445,14.978137439814374,6.06653658274985,1.1379701648292877
5,1049.253846153846,165847.4846153846,88.63282012820507,88.51872628205129,100.75996769230767,92.7543674871795,139.47082517948704,62.75378723076922,54.04082528023387,-1.617269220420308,64.6233902406281,82.74402334637315,83.6772806385607,66.44344390963118,102.98858041408545,30.64020708703326,3.5501551401044975,21.580210962921136,-19.73259791981034,-3.0818526957533656
6,756.9350797266515,165712.46810933942,146.09854316628702,110.54482756264231,17.61970763097951,92.6647754669704,139.20169642369018,62.933075717539815,64.48454730369546,-0.47576592671771156,51.79905118826574,133.79297831737014,59.4353068986776,102.585740490611,87.03544431517712,23.702665277338937,62.96119136323907,-13.730120572218018,-10.381164964599517,-0.46815852873518177
7,884.9706336939722,165749.25811437404,75.96893044822254,85.93104482225654,13.589443585780524,92.77440417310666,139.39282581143738,62.70664989180838,61.67311865552373,-1.8477073991964774,75.80772908493975,132.89980593795008,56.72853397016505,64.36364741473831,105.61086549464551,21.960611170106414,55.28166072752808,32.774694551574655,2.4952324530507286,-0.3889210710925775
8,1301.2407192575406,165855.73665893273,129.25798897911852,145.2856565545246,54.69398526682139,92.66510421113686,139.42739903712328,62.700316937354934,37.94127073155351,0.20173661405994756,50.544888181145915,90.56059002940432,48.56120765678186,84.41094878376398,49.661636217492294,-12.364809623464119,16.643776926209537,-25.168035015154878,1.4068122827778544,-0.6552983749955872
9,1477.519117647059,165857.71323529413,114.4385742647059,189.650647647059,14.203172941176465,92.6778510882352,139.5821239411765,62.65082491176464,63.519131158664706,1.1255983291653622,95.95153149414882,116.21013140433095,73.88833472281374,107.10613339140112,54.68220340290641,37.211954510527285,31.14517594740653,-25.738691713706014,36.28311561099347,-4.726513903133725
10,771.9611451942741,165762.41922290387,91.54852852760752,142.68904054192205,87.42957351738248,92.7395695705522,139.4616965950922,62.81545115541928,9.621411470125484,0.5815541815665473,57.241396638120655,41.07643669130944,60.252240093506266,54.45183091746834,50.99960353316028,-19.499029844199338,-38.23495638973799,-4.184592065450418,-3.75287341645283,-0.44531422273732807
11,908.5726392251815,165754.07263922517,48.93292784503629,104.22274019370452,105.52699745762708,92.72032757869256,139.25684840193696,62.83255946731234,57.9778173912263,-2.4252971738350664,93.08054096072871,72.70766215445751,94.10548855580406,55.24177962174167,106.74643358722658,44.46450768300532,-14.290894635823888,38.98313186125398,-1.1234343977264774,-2.5275334054561176
