 Atom  Name    Res Name    Mol Type   Charge     Mass GBradius El     rVDW     eVDW
699118 POT  165503 POT  161261 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699145 POT  165530 POT  161288 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699167 POT  165552 POT  161310 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699169 POT  165554 POT  161312 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699172 POT  165557 POT  161315 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699185 POT  165570 POT  161328 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699196 POT  165581 POT  161339 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699238 POT  165623 POT  161381 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699242 POT  165627 POT  161385 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699326 POT  165711 POT  161469 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699389 POT  165774 POT  161532 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699487 POT  165872 POT  161630 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699506 POT  165891 POT  161649 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699667 POT  166052 POT  161810 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699684 POT  166069 POT  161827 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699710 POT  166095 POT  161853 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
699751 POT  166136 POT  161894 POT    1.0000  39.0983   1.5000  K   1.7637   0.0870
